latitude,longitude,random_id,set,area
29.9529004,-90.07059664,0.429537537,cameras,FQ
29.95310368,-90.06916653,0.664662787,cameras,FQ
29.95346489,-90.06873549,0.801319872,cameras,FQ
29.95350317,-90.06737365,0.65824152,cameras,FQ
29.95360547,-90.06566543,0.559937808,cameras,FQ
29.95370058,-90.07005953,0.204382708,cameras,FQ
29.95395759,-90.06982946,0.959945919,cameras,FQ
29.95420704,-90.06948401,0.231845602,cameras,FQ
29.95439599,-90.06887508,0.202128154,cameras,FQ
29.95471341,-90.06915303,0.397356699,cameras,FQ
29.95531813,-90.07004448,0.086284465,cameras,FQ
29.95549212,-90.06845937,0.79709061,cameras,FQ
29.95582185,-90.06824313,0.565835453,cameras,FQ
29.9558775,-90.06822336,0.051320008,cameras,FQ
29.95628035,-90.06775069,0.036967383,cameras,FQ
29.95665948,-90.06752904,0.252709358,cameras,FQ
29.95704071,-90.06706977,0.700175743,cameras,FQ
29.95764053,-90.06796757,0.187817034,cameras,FQ
29.95782843,-90.06636763,0.336393833,cameras,FQ
29.95797788,-90.06610848,0.671266473,cameras,FQ
29.95861082,-90.06566875,0.326654007,cameras,FQ
29.95902895,-90.06528471,0.957960893,cameras,FQ
29.95948475,-90.06488729,0.872449324,cameras,FQ
29.95964743,-90.0648222,0.174577416,cameras,FQ
29.96023902,-90.06429842,0.35311638,cameras,FQ
29.96106843,-90.06347294,0.4848223,cameras,FQ
29.95009445,-90.06431613,0.566514422,cameras,FQ
29.95354081,-90.07541601,0.2334369,cameras,FQ
29.9541597,-90.07394124,0.758764119,cameras,FQ
29.95611884,-90.07364439,0.411191241,cameras,FQ
29.95802979,-90.0723882,0.081641447,cameras,FQ
29.95896103,-90.06992563,0.749247068,cameras,FQ
29.96140965,-90.06762788,0.440263502,cameras,FQ
29.96344297,-90.06675702,0.569788202,cameras,FQ
