charge_description,p-value,race
AGG. BATTERY,1.830303518368853e-13,black
AGG. CRIMINAL DAMAGE,7.589706189612672e-25,black
AGGRAVATED ASSAULT WITH A FIREARM,1.7095128393522664e-09,black
ARMED ROBBERY,1.1778108638479296e-56,black
SIMPLE BURGLARY,1.8162583666950827e-14,black
SIMPLE CRIMINAL DAMAGE TO PROPERTY,4.3048225836797155e-33,black
SIMPLE ROBBERY,2.5945960027961682e-24,black
THEFT,0.009234162859452813,black
THEFT OF A MOTOR VEHICLE,4.946784020051832e-10,black
USE OF FIREARM IN ROBBERY,1.2762953264642303e-39,black
amer. ind.,0.12729466054673305,black
asian,0.6061359543854958,black
black,0.0,black
hispanic,3.4087710129106e-16,black
unknown,0.0,black
white,2.85527215364447e-132,black
