year,offender_race (females),offender_race (females),rtcc footage requests per 1000 females,,race,population_size
2018,black,179,0.785087719,,black,"228,000"
2018,white,65,0.541666667,,white,"120,000"
2018,hispanic,5,0.390625,,hispanic,"12,800"
,,,,,asian,"11,000"
2019,black,287,1.25877193,,american indian,849
2019,white,27,0.225,,,
2019,hispanic,11,0.859375,,,
,,,,,,
2020,black,294,1.289473684,,,
2020,white,36,0.3,,,
2020,hispanic,6,0.46875,,,
,,,,,,
2021,black,341,1.495614035,,,
2021,white,53,0.441666667,,,
2021,unknown,8,,,,
,,,,,,
2022,black,129,0.565789474,,,
2022,unknown,6,,,,
2022,white,3,0.025,,,
